Country,Country Code,Year,Global_Unemployment_Rate
India,IND,1991,5.6
India,IND,1992,5.73
India,IND,1993,5.69
India,IND,1994,5.74
India,IND,1995,5.76
India,IND,1996,5.74
India,IND,1997,5.61
India,IND,1998,5.67
India,IND,1999,5.74
India,IND,2000,5.56
India,IND,2001,5.58
India,IND,2002,5.53
India,IND,2003,5.64
India,IND,2004,5.63
India,IND,2005,5.61
India,IND,2006,5.6
India,IND,2007,5.57
India,IND,2008,5.41
India,IND,2009,5.54
India,IND,2010,5.55
India,IND,2011,5.43
India,IND,2012,5.41
India,IND,2013,5.42
India,IND,2014,5.44
India,IND,2015,5.43
India,IND,2016,5.42
India,IND,2017,5.36
India,IND,2018,5.33
India,IND,2019,5.27
India,IND,2020,8.0
India,IND,2021,5.98
