State,Avg_Unemployment,Avg_Labour_Participation,Avg_Employed,Cluster,Cluster_Name
Andhra Pradesh,7.477142857142857,39.37571428571429,8154093.178571428,2,Low Unemployment
Assam,6.428076923076923,44.86846153846154,5354772.153846154,2,Low Unemployment
Bihar,18.91821428571429,38.15392857142857,12366189.142857144,0,High Unemployment
Chandigarh,15.991666666666667,39.336666666666666,316831.25,0,High Unemployment
Chhattisgarh,9.240357142857144,42.81071428571429,4303498.571428572,2,Low Unemployment
Delhi,16.49535714285714,38.92964285714286,2627512.8571428573,0,High Unemployment
Goa,9.274166666666666,39.249583333333334,226308.33333333334,2,Low Unemployment
Gujarat,6.663928571428571,46.10107142857142,11402012.785714285,2,Low Unemployment
Haryana,26.283214285714283,42.737142857142864,3557072.464285714,0,High Unemployment
Himachal Pradesh,18.540357142857143,44.222142857142856,1059823.7142857143,0,High Unemployment
Jammu & Kashmir,16.18857142857143,41.03095238095238,1799931.6666666667,0,High Unemployment
Jharkhand,20.585,41.67071428571428,4469240.428571428,0,High Unemployment
Karnataka,6.676071428571428,41.34535714285715,10667119.285714285,2,Low Unemployment
Kerala,10.12392857142857,34.86785714285714,4425899.5,2,Low Unemployment
Madhya Pradesh,7.406428571428571,38.82142857142857,11115484.32142857,2,Low Unemployment
Maharashtra,7.5575,42.30321428571428,19990195.85714286,1,Medium Unemployment
Meghalaya,4.7988888888888885,57.080740740740744,689736.8148148148,2,Low Unemployment
Odisha,5.657857142857142,38.92642857142857,6545746.964285715,2,Low Unemployment
Puducherry,10.215000000000002,38.99269230769231,212278.07692307694,2,Low Unemployment
Punjab,12.031071428571428,41.138214285714284,4539362.0,2,Low Unemployment
Rajasthan,14.058214285714286,39.973214285714285,10041064.75,2,Low Unemployment
Sikkim,7.249411764705882,46.07,106880.70588235294,2,Low Unemployment
Tamil Nadu,9.284285714285714,40.87214285714286,12269546.75,2,Low Unemployment
Telangana,7.737857142857143,53.0025,7939662.75,2,Low Unemployment
Tripura,28.350357142857142,61.82392857142857,717002.6428571428,0,High Unemployment
Uttar Pradesh,12.551428571428572,39.432500000000005,28094832.17857143,1,Medium Unemployment
Uttarakhand,6.582962962962963,33.775555555555556,1390228.111111111,2,Low Unemployment
West Bengal,8.124642857142858,45.417500000000004,17198538.0,1,Medium Unemployment
